Scenario;Replication;OrderFillRate;OrdersS1;OrdersS2;OrdersS3;AvarageLeadTime;AvarageQInStock;Costs;NumberBackordered
Scenario10;41;90,7801418439716;0;21;5;180,202214311349;495,688436444371;436000;13,1248231336168
Scenario10;42;84,2105263157895;0;20;4;183,585531660684;464,523431205942;400000;12,9256884732467
Scenario10;43;90;0;20;2;176,892717863927;531,028771135635;360000;5,37382213061713
Scenario10;44;85,3211009174312;0;19;1;204,226297320758;492,611669094165;324000;25,8207300446267
Scenario10;45;93,6507936507936;0;22;2;188,971127466411;533,514484854196;376000;6,31477151259369
Scenario10;46;92,0634920634921;0;22;1;175,563441815631;543,781195676941;372000;5,95377156720206
Scenario10;47;82,7586206896552;0;22;5;195,701063802097;478,140543862795;432000;34,9144978213181
Scenario10;48;86,6666666666667;0;20;2;190,754795977136;511,192703987103;360000;15,3989114923055
Scenario10;49;95,2755905511811;0;22;1;174,277172461164;509,540983721398;372000;3,06580431623742
Scenario10;50;93,3823529411765;0;22;3;189,910367276587;482,272150542519;412000;7,68456507373646
Scenario10;51;92,5619834710744;0;22;1;167,213284812621;542,945182760676;372000;7,53128954122479
Scenario10;52;84,3283582089552;0;21;4;204,054989093482;465,877899563704;416000;28,4867465090479
Scenario10;53;85,0393700787402;0;21;3;206,610006411636;464,632971825334;396000;15,4951471254644
Scenario10;54;92,3076923076923;0;20;2;170,408361932676;497,669760680591;360000;4,90160338677574
Scenario10;55;84,0579710144928;0;20;5;195,988335762212;472,115798403848;420000;22,7059225523561
Scenario10;56;87,9432624113475;0;23;3;187,824668908197;483,257528804649;428000;17,0178487805779
Scenario10;57;91,8518518518518;0;21;4;181,533276400964;486,564549728587;416000;7,96946348786537
Scenario10;58;87,5;0;22;3;173,676528923071;525,135665429336;412000;10,8988450760522
Scenario10;59;90,2255639097744;0;21;4;187,248014508661;530,153006471539;416000;7,71606844323879
Scenario10;60;87,8787878787879;0;22;2;184,238896008472;531,803790319076;392000;11,844692758777
Scenario10;61;90,0709219858156;0;23;3;181,172900042729;511,369860542384;428000;10,9530863486488
Scenario10;62;91,4728682170543;0;20;3;183,383614533671;505,997364937661;380000;8,73482467008051
Scenario10;63;86,5079365079365;0;20;3;191,049558760869;478,535824068453;380000;12,2322815693365
Scenario10;64;92,1739130434783;0;20;1;175,930954239923;520,67822139219;340000;4,46637428156121
Scenario10;65;92,1985815602837;0;22;4;179,932120637955;484,495849621416;432000;9,47545540187277
Scenario10;66;87,9699248120301;0;21;3;182,247565526251;492,57986481927;396000;10,6906065975792
Scenario10;67;84;0;21;2;180,874016155457;473,404282641911;376000;12,5514609205039
Scenario10;68;82,1917808219178;0;24;3;199,401814116347;454,376158533187;428000;31,0065510860647
Scenario10;69;95,0980392156863;0;19;0;166,906289236689;535,275618988471;304000;1,07136577176399
Scenario10;70;86,3945578231292;0;21;6;207,847388370095;456,76142986561;456000;18,4428191292678
Scenario10;71;95,7627118644068;0;19;2;179,58622939546;527,563267477558;344000;2,4008732635734
Scenario10;72;89,3939393939394;0;21;3;194,430004328746;499,408086731114;376000;12,2240688599733
Scenario10;73;93,7007874015748;0;21;3;179,656136088443;506,543864240411;396000;5,24469894019241
Scenario10;74;88,0597014925373;0;20;5;188,567749980542;446,767361849189;420000;9,84400804360968
Scenario10;75;91,2;0;22;1;180,057440381555;512,735238456074;372000;5,96195077722363
Scenario10;76;83,6477987421384;0;22;8;200,807342706193;430,645977974637;492000;20,1890911875995
Scenario10;77;85,2941176470588;0;22;3;174,278291614551;470,018961947601;412000;18,9835031201164
Scenario10;78;94,1176470588235;0;21;1;172,643512903008;532,459887907867;356000;4,57600782390514
Scenario10;79;90,5511811023622;0;22;2;183,380845876664;504,165256357963;392000;7,2778477312407
Scenario10;80;95,1923076923077;0;19;0;175,42151130357;512,469097528601;304000;1,63000955777524
Scenario10;81;90,8450704225352;0;24;3;188,493872906773;508,129550628432;424000;10,614376400714
Scenario10;82;89,2857142857143;0;22;4;185,967031410235;488,034551476613;432000;16,0720562223792
Scenario10;83;88;0;21;2;176,079305583154;502,111730346444;376000;9,65023769293417
Scenario10;84;83,7037037037037;0;19;6;200,235382279288;464,121909134069;404000;21,5373751320219
Scenario10;85;91,6030534351145;0;21;3;180,833928171671;495,198815250649;376000;4,08971877384266
Scenario10;86;86,1313868613139;0;23;3;189,225117134923;473,298248599483;428000;12,6468663864141
Scenario10;87;82,1705426356589;0;20;4;192,4678568925;510,035052706731;400000;28,8934491346835
Scenario10;88;92,741935483871;0;21;2;181,25720063737;548,855919275306;376000;6,10817349494764
Scenario10;89;90,5511811023622;0;22;1;178,661242709873;514,024797974566;372000;5,30538612375656
Scenario10;90;92,5373134328358;0;22;3;176,674740088924;538,716331773241;412000;4,79959157010148
Scenario10;91;84,6666666666667;0;24;4;201,27119307011;498,711280609949;448000;18,2854241081113
Scenario10;92;86,0927152317881;0;23;5;191,488710078879;457,776069564269;468000;17,4748468487116
Scenario10;93;91,2;0;21;2;187,442155018317;532,73752134341;376000;6,86702277397482
Scenario10;94;92,3664122137405;0;22;2;184,841946427598;497,505842938886;392000;8,51150076348981
Scenario10;95;95,7983193277311;0;22;0;171,274289391598;571,598898189206;352000;0,686147061498672
Scenario10;96;83,5616438356164;0;24;3;189,89006262962;434,7267213345;428000;21,0898187315718
Scenario10;97;84,3283582089552;0;22;3;181,559311891525;494,712466691433;412000;13,2423252332705
Scenario10;98;84;0;21;6;199,046952429584;452,596014788381;456000;20,5323942875731
Scenario10;99;90,4761904761905;0;21;2;189,676642712074;513,497037294805;376000;5,16279261776814
Scenario10;100;93,1623931623932;0;21;1;173,361954609498;541,212441312047;356000;7,25058315631153
Scenario11;1;92,1875;0;24;3;191,005585327394;504,289653275261;388500;7,52753134510555
Scenario11;2;95,9016393442623;0;23;2;192,607680405969;558,054957878369;357000;2,65432046429629
Scenario11;3;92,1259842519685;0;25;2;193,99369444763;538,484027899903;385000;5,07730499361985
Scenario11;4;88,5714285714286;0;26;4;187,564031905393;507,791751074453;416500;10,3168696880687
Scenario11;5;95,0704225352113;0;26;4;187,203614812182;485,685183216971;434000;5,01157145823459
Scenario11;6;92,7536231884058;0;24;5;186,672492418028;555,806490895439;406000;8,79356901852375
Scenario11;7;92,5925925925926;0;25;3;180,945922972457;547,191629436311;402500;3,72169243085264
Scenario11;8;93,0232558139535;0;24;3;189,617615407502;573,682272554746;388500;4,11666285758267
Scenario11;9;97,5409836065574;0;25;1;168,079766935307;581,459554532382;367500;1,35389083657992
Scenario11;10;96,7213114754098;0;24;1;177,573432359933;579,361735979723;353500;7,62862310592372
Scenario11;11;96,4912280701754;0;22;2;206,061173101681;536,889687204856;343000;2,5554243413888
