Replication;scarcity3;scarcity2;scarcity1;EnvironmentalDisasterChanceB;EnvironmentalDisasterChanceA;TimeToRepair2;TimeToRepair3;TimeToRepair1;CountBetweenFaillures3;CountBetweenFaillures2;CountBetweenFaillures1;DelayTimeB;TravelTime3;TravelTime2;DelayTimeA;TravelTime1;Costs;OrdersS3;OrdersS2;OrdersS1;AvarageQInStock;NumberBackordered;AvarageLeadTime;OrderFillRate
44;15,9744737959731;17,2682284204289;NaN;7,26230608247991;2,30721214076038;634,007639361106;572,9989999662;612,289053854687;39,6922348259638;41,7621692824676;76,8313609490073;706,319726666835;709,360818635197;250,236792855139;NaN;NaN;288000;29;2;0;435,178160328375;37,0681589700737;331,135385594366;81,4516129032258
45;15,9702273630406;17,0550923847477;NaN;6,30175441295768;3,88159615220502;605,789363159246;653,606353572237;642,204382496992;40,7184296267639;42,4126430037099;73,2998387200611;462,849726718528;729,85356023191;156,087526777679;NaN;NaN;279000;26;3;0;446,529296643856;13,5659096671218;315,619192156601;85,9649122807018
46;15,9788134123392;17,1828846282326;NaN;6,64776921445697;3,56235881883185;572,151394908427;635,315757204845;741,856812860746;44,0818498290523;46,4765122457821;70,7737369263103;639,320007689954;766,259817823137;85,4634095950238;NaN;NaN;288000;29;2;0;425,114387469614;40,0904616279718;340,29843795517;79,0322580645161
47;16,0367247305744;17,4460611827672;NaN;6,45379061602916;2,47530624293722;668,663695234454;577,55554868167;653,989776054434;42,2316423364516;43,5465948040991;74,1123641243106;974,476921168445;712,736181910161;-39,6820890860426;NaN;NaN;252000;26;1;0;422,54739879363;24,8026562728303;314,270107002149;85,9649122807018
48;16,0231654090807;16,9748246467789;NaN;6,256881428949;4,15651775756851;674,58617968124;611,141148349138;629,775616392003;41,2567901957248;46,8836851394735;76,4339428232051;776,992705000401;711,309286492422;100,983028230619;NaN;NaN;297000;28;3;0;437,846050762974;42,3528951737772;303,317273852861;76,1904761904762
49;16,0930450447525;17,1278230964339;NaN;6,27829808202971;2,93448908724822;637,248512653376;586,181115235211;644,456459873664;42,0577402246584;47,529469428387;75,3896930370186;919,133778576994;737,00163057641;131,166620806273;806,447565597972;NaN;333000;28;5;0;371,759775601785;22,1232640431343;319,005123118706;77,9411764705882
50;15,998347804158;17,1657051029615;NaN;5,75816160506968;4,90965587040409;646,937206376856;612,545273682603;654,333263811513;43,069680472491;43,566574037282;77,0166951518816;NaN;755,85166611348;107,814048722866;NaN;NaN;261000;28;1;0;445,721954144744;14,8531166318929;319,330718213112;85
51;15,9170566404031;16,7370592532679;NaN;5,65796776321428;3,96062781093642;627,76903270271;634,204263432993;634,448711297861;41,3356124177309;48,9326111370698;75,1128096404289;824,980234271995;745,770086259701;208,640399449046;NaN;NaN;342000;29;5;0;408,366323305139;33,502361006102;319,420503111554;74,1007194244604
52;15,9879048523677;16,9984406068209;NaN;5,89120669942349;3,61907457082998;590,913232504861;656,780818049721;656,649964265387;39,1832779268069;47,0406763466935;74,8602731127635;997,176938603571;746,869885160699;124,157099725039;820,835975160516;NaN;360000;28;6;0;386,042938761898;31,9768633086345;327,01865245755;77,8571428571429
53;15,9144128303219;16,9647840091027;NaN;6,2112791509264;3,91845566930715;661,116306289109;642,492717717087;657,166610274134;41,9780861834685;43,3991168315212;73,7155550871486;891,71174224192;712,041184003699;236,714548969688;NaN;NaN;270000;27;2;0;407,543778508702;20,7363885687708;317,162344790156;81,8965517241379
54;16,0304507011299;17,0390767175214;NaN;5,88100840549531;3,96923498659661;660,641724693856;637,92899926975;594,692463989617;40,9126541883286;45,5724865790958;75,0449983309954;NaN;708,946164669218;246,838980703011;NaN;NaN;387000;29;7;0;408,911618880284;26,2120126862854;297,531698184458;79,0540540540541
55;15,872049423355;17,4381821052521;NaN;6,10648944608069;4,04419927182607;610,602360681744;608,221208165548;594,229094699535;37,1387694760536;46,8389465902538;74,9341619633579;680,337761479945;671,633877523325;182,176322541947;NaN;NaN;297000;28;3;0;404,397042327743;33,108937721886;309,323935556962;81,1475409836066
56;15,99275419597;16,9992615117691;NaN;6,50242017613103;3,74124774185475;643,619442085329;585,130701035546;568,446307885774;38,5478457603604;45,0818798520889;74,0804761777399;805,762262446391;738,015264195229;77,0978800338257;NaN;NaN;297000;30;2;0;383,070719620947;34,4782084598855;338,329169146615;81,6793893129771
57;15,9782852805431;16,8964371454521;NaN;6,4621960896139;3,5104032450472;686,15079360832;651,464602607332;653,562581078632;36,9466447932646;46,9318798114546;76,9896729123623;893,041514536219;723,522043535216;185,366253221068;NaN;NaN;378000;26;8;0;422,354875926438;28,7481985494399;299,034302288337;79,8561151079137
58;16,0691472701728;17,0364603243901;NaN;6,24597791163251;3,05971017177217;664,764643685441;708,075241274787;643,690132234198;39,8760033995603;43,2533806257157;76,2848583325588;834,17384532393;674,325421838836;156,098520014907;NaN;NaN;324000;28;5;0;414,916770346962;19,6135011085694;295,026949286557;85,9259259259259
59;16,117552359305;17,0117011233507;NaN;5,76198606469013;3,98106866399758;635,207958397328;655,186896898456;544,962854381181;40,8273045302901;45,3792031912599;76,5468974591625;930,228162948226;771,973100251943;77,7001008148437;NaN;NaN;342000;27;6;0;411,276396992775;30,8887492092433;301,55965635858;78,5185185185185
60;15,9755398121033;17,1369842522778;NaN;5,59152905117454;2,99629215453751;682,449705928513;571,037082281018;634,523662399571;39,1175614455715;43,9039977658719;76,4281406889572;1051,35157353263;702,173979103479;154,225986645425;NaN;NaN;288000;28;2;0;436,358698303286;30,2476342395751;325,476428757965;80,3149606299213
61;16,0502764830233;16,8680206346658;NaN;6,12140684243706;3,88259086399339;628,77167936139;583,716023786377;731,667386311726;39,0847645054261;44,4001607490807;74,4292258063797;831,360999077065;748,280766750507;282,049209192521;NaN;NaN;333000;27;5;0;411,418351499897;31,3139980900556;320,888368681192;78,4615384615385
62;15,9259127710571;17,0631012572797;NaN;5,10688403521531;3,91722990770359;606,928158191938;645,604021957104;704,98640882959;40,1051424620008;44,0629709677564;74,5630458296121;817,498892649987;700,812723658843;161,704522302398;NaN;NaN;360000;28;6;0;417,701733003445;33,1966947421633;324,417840252802;75,3623188405797
63;16,0139513256947;17,0175043565687;NaN;5,41969574499747;2,86783276044298;625,660215064529;608,620197600054;609,787428688344;40,1189510620617;45,6352263716802;75,7087883850756;1029,36718940158;737,985904061673;103,779553655569;NaN;NaN;369000;29;6;0;403,99090214543;30,5796679509132;305,43652901968;79,7202797202797
64;16,0096434450931;16,9005995718762;NaN;6,00882487730788;3,62322799832327;658,59431385055;635,751833039331;625,848827576535;37,5019120335065;47,783332625404;71,5112829881132;891,502203149064;759,375427953018;155,76933653535;NaN;NaN;315000;28;4;0;389,161605107793;33,4960015287145;338,467113598358;79,6875
65;16,07669073541;17,0718044363047;NaN;6,10540594841139;3,40461808745749;610,932375598589;677,891244715095;651,565087192668;40,9435521504255;46,3320051700486;75,3363170673287;923,480251394625;669,116636333989;194,430297092594;NaN;NaN;297000;26;4;0;410,22224235667;36,3156637720852;325,134847428623;75,4098360655738
66;16,0305161707635;17,0824939987506;NaN;6,76038780404876;3,67841445468366;643,758930759093;575,267147915464;571,089813000951;39,8992139101028;43,2291072852806;74,755062610156;893,952071639855;711,060647944763;38,0359173547289;NaN;NaN;324000;30;3;0;417,55816699576;42,5394791738511;325,648338597504;76,6917293233083
67;16,0320166933537;16,879723877392;NaN;6,08055318892002;3,47803064779146;639,296222823821;625,630634356496;601,599583756509;42,769614038644;45,4942285884709;77,3888411396183;840,302101365907;733,074444958004;110,696344355385;NaN;NaN;324000;28;4;0;432,248478624579;26,1527889349563;303,434253542039;75,187969924812
68;15,9434798442223;17,0641491778993;NaN;6,62871682200709;3,69819232323207;640,790469546169;660,93393659805;640,389435696518;39,8010093735398;46,4054682266075;72,7007601446913;706,312343203736;678,006949010615;167,852428430621;381,702342511701;NaN;342000;29;5;0;429,536093556314;13,7591643128019;299,09172926537;85,8208955223881
69;15,9995093039588;16,8607193569187;NaN;5,6075489787784;4,61974458862096;594,950521092826;655,186974596122;631,99150419089;40,9413194017751;47,5069693381934;73,8428316284951;NaN;748,209409722425;144,329465868907;NaN;NaN;270000;28;1;0;442,017777192569;24,7487088266455;331,634038619157;83,6065573770492
70;15,9293904077589;17,4199690753012;NaN;6,09766667083438;4,00127152353525;600,913071889873;622,363850871856;629,40011115158;40,176193421257;48,1490145734726;76,4476049055443;658,381587506534;774,304532346642;133,490066134701;NaN;NaN;297000;28;3;0;428,468182267007;38,3711513206065;327,702895171371;76
71;15,9053690345673;17,2044754101895;NaN;6,60845699919654;2,76327984523959;585,392367982786;612,494630175954;641,659468229235;40,6338383954275;43,1357509617893;74,5359175579966;600,30533657472;734,704503534885;157,375031527611;NaN;NaN;279000;28;2;0;426,745262927258;24,380265627935;322,029661534114;84,4262295081967
72;15,9822192348553;17,2017925040034;NaN;5,78294607817099;3,69800296716858;630,561280239992;593,471163161424;616,495107640929;40,7757222520766;45,3982322432029;74,3088407796121;794,262884210421;720,731577108318;146,084097575128;NaN;NaN;324000;29;4;0;431,849015558951;23,1762249838602;326,382888277558;83,3333333333333
73;15,9629340194442;17,0256615675;NaN;5,71125877713068;3,33666611462831;633,551236910714;662,121901365666;604,13061248903;38,5520480984244;48,0186472319998;77,3925240221433;365,678335559994;749,804280921771;194,541303190461;NaN;NaN;333000;26;6;0;450,465789725338;13,7502168709304;305,798844806955;87,1212121212121
74;16,0165086816103;16,7811441339806;NaN;5,67080316865551;2,83590999542503;589,96831148369;637,030263769737;648,316665522391;39,5298909742771;50,1451946689747;74,848076137469;NaN;733,114958866816;219,653244047822;954,785275571951;NaN;315000;28;4;0;392,078429491941;26,3485193753788;311,791354851091;79,8507462686567
75;15,9901425219343;17,260274247605;NaN;6,83575033299901;3,43912060069852;575,069422926426;629,660974854006;648,301064662799;35,5227522101373;45,0006763802634;77,9110393483036;713,918618259209;702,877621938552;150,808066096483;NaN;NaN;306000;27;4;0;431,575394902211;31,6544492919304;319,07071089559;82,1138211382114
76;15,9929664730889;NaN;NaN;6,42987987671334;NaN;635,254920925917;638,470739508034;647,968588668297;43,6104816857173;45,1719042146578;78,2367752438101;932,605676970139;707,123483179481;NaN;NaN;NaN;234000;26;0;0;445,768194607772;9,62844248423332;333,868570639204;93,3333333333333
77;16,0279568418757;17,1799814206149;NaN;5,61863066522138;3,21512312339619;614,062860392718;668,090029396968;669,676000138078;41,2490745909911;45,1277335989289;73,9082832799881;859,381623196428;696,330909241758;142,104930248681;1008,83348952663;NaN;342000;28;5;0;417,928996605543;39,3169828337061;331,821882309059;76,1194029850746
78;15,9461004329451;17,0392984358727;NaN;5,96542312595993;2,8311025514733;629,392815468203;600,936683364436;618,515742484926;42,0652966613748;44,4771163178504;77,6672174304258;781,277130257732;730,674603866827;217,079367217067;NaN;NaN;342000;30;5;0;393,388181268285;56,4010648918199;324,373018386021;72,2222222222222
